Option1_Value,Option3_Name,Title,Option2_Value,Option1_Name,Option3_Value,Option2_Name,Vendor,Type,Image_Src
"20"" x 10""",Wheels,"
MO951
","
GLOSS BLACK MACHINED
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_951_GlossBlack_MachinedFace_300.png
"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO967
","
SATIN BLACK W/ CLEAR COAT
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9672_20x12-1402-092-00-300.png
"18"" x 10"",20"" x 12"",22"" x 14""",Wheels,"
MO962
","
CHROME
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_962_Chrome_300.png
"18"" x 10"",20"" x 10""",Wheels,"
MO961
","
SATIN BLACK
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MotoMetal_961_5_Lug_Satin_Black_W_Chrome_Inserts-300.png
"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO977 Link
","
BLACK OUT
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9772_20x12-1510-797-00-300.png
"18"" x 10"",20"" x 10"",20"" x 12""",Wheels,"
MO970
","
GLOSS BLACK MACHINED W/ MILLED ACCENTS
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9703_20x10-1312-078-00-3001.png
"20"" x 10"",20"" x 12"",22"" x 12""",Wheels,"
MO978 Razor
","
SATIN BLACK MACHINED
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo978_22x12-1602-210-00-3001.png
"18"" x 10"",20"" x 12"",22"" x 14""",Wheels,"
MO962
","
GLOSS BLACK W/ MILLED ACCENTS
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MO_962_Gloss_Black_Milled_Accents-300-Cloned412405685764-Cloned412405686343.png
"18"" x 10"",20"" x 10"",20"" x 12""",Wheels,"
MO972
","
PVD
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9728_18x10-1504-206-00-3001.png
"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO968
","
SATIN BLACK W MACHINED FLANGE
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9687_18x10-1310-712-00-3001.png
,Wheels,"
MO963
","
PVD
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_963_BrightPVD_Front_300.png
"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO967
","
SATIN BLACK W MACHINED FLANGE
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9677_18x10-1310-710-00-3001.png
