Option1 Name,Multiple Option Values (1),Option2 Name,Multiple Option Values (2),Option3 Name,Multiple Option Values 3,Title,Vendor,Type,Image Src
Size,"18"" x 10"",18"" x 9"",20"" x 12"",20"" x 9"",22"" x 14""",Color,"GLOSS BLACK W/ MILLED ACCENTS, CHROME",Wheels,"2,4,5,6",MO962,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MO_962_Gloss_Black_Milled_Accents-300-Cloned412405685764-Cloned412405686343.png
Size,"18"" x 9"",20"" x 10"",20"" x 12"",20"" x 9"",22"" x 10""",Color,"PVD, SATIN BLACK MILLED",Wheels,"2,4,5,6",MO976,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9768_20x12-1501-030-00-3001.png
Size,"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Color,"SATIN BLACK W/ CLEAR COAT, SATIN BLACK W MACHINED FLANGE",Wheels,"2,4,5,6",MO967,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9672_20x12-1402-092-00-300.png
Size,"16"" x 8"",16"" x 9"",17"" x 9"",18"" x 9"",20"" x 10"",20"" x 9""",Color,"GLOSS BLACK MACHINED, CHROME",Wheels,"2,4,5,6",MO951,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_951_GlossBlack_MachinedFace_300.png
Size,"17"" x 9"",18"" x 9"",20"" x 10"",20"" x 12"",20"" x 9""",Color,"SATIN BLACK MILLED, CHROME",Wheels,"2,4,5,6",MO975,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MO9759-300.png
Size,"18"" x 10"",18"" x 9"",20"" x 10"",20"" x 9""",Color,"CHROME, SATIN BLACK",Wheels,"2,4,5,6",MO961,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MotoMetal_961_6_Lug_Chrome_W_Chrome_Inserts-300.png
Size,"18"" x 10"",18"" x 9"",20"" x 12"",20"" x 9"",22"" x 12""",Color,"SATIN BLACK W/ ACCENTS, CHROME W/ ACCENTS",Wheels,"2,4,5,6",MO969,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/mo_mo9692_20x9-1401-011-00-300.png
Size,"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Color,"SATIN BLACK, BLACK OUT",Wheels,"2,4,5,6",MO977 Link,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9772_20x12-1509-576-00_300.png
Size,"16"" x 8"",17"" x 8"",17"" x 9"",18"" x 10"",18"" x 9"",20"" x 10"",20"" x 12"",20"" x 9""",Color,"SEMI GLOSS BLACK W/ MILLED SPOKES, GLOSS BLACK MACHINED W/ MILLED ACCENTS",Wheels,"2,4,5,6",MO970,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motomoetal_mo970_18x9-1510-858-00-3003.png
Size,"17"" x 9"",18"" x 10"",20"" x 10"",20"" x 12""",Color,"SATIN BLACK MILLED, PVD",Wheels,"2,4,5,6",MO972,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9729_20x12-1504-205-00-300.png
Size,"20"" x 10"",20"" x 12"",22"" x 12""",Color,SATIN BLACK MACHINED,Wheels,"2,4,5,6",MO978 Razor,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo978_22x12-1602-210-00-3001.png
Size,"16"" x 6"",17"" x 6""",Color,"MATTE BLACK MACHINED, PVD",Wheels,"2,4,5,6",MO963,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_963_Dually_MatteBlack_Machined_Front_300.png
Size,"16"" x 8"",17"" x 9"",18"" x 9"",20"" x 10""",Color,CHROME,Wheels,"2,4,5,6",MO955,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_955_Chrome_3001.png
Size,"17"" x 9"",18"" x 9"",20"" x 9""",Color,MATTE BLACK,Wheels,"2,4,5,6",MO957,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_957_Matte_Black-300.png
Size,"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Color,"SATIN BLACK W/ CLEAR COAT, SATIN BLACK W MACHINED FLANGE",Wheels,"2,4,5,6",MO968,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9682_20x12-1402-093-00-300.png
Size,"18"" x 10"",18"" x 9"",20"" x 10"",20"" x 9""",Color,MATTE BLACK MACHINED,Wheels,"2,4,5,6",MO959,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MotoMetal_959_6_Lug_Matte_Black_Mach-300.png
Size,"16"" x 8"",17"" x 9"",18"" x 9"",20"" x 10"",20"" x 9""",Color,SATIN BLACK,Wheels,"2,4,5,6",MO971,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/wheelpros_mo971_20x10-1404-285-00-300.png
